"","cod_dept","area","pop"
"1109","39","559","558"
"1110","63","1111","172"
"1111","07","1224","1152"
"1112","85","1622","1538"
"1113","40","1223","373"
"1114","17","978","4048"
"1115","53","1791","535"
"1116","10","725","111"
"1117","29","1291","434"
"1118","71","703","63"
"1119","27","650","461"
"1120","61","574","1337"
"1121","77","643","409"
"1122","78","563","562"
"1123","95","745","369"
"1124","31","1304","447"
"1125","09","557","132"
"1126","54","1113","282"
"1127","67","491","729"
"1128","89","1188","550"
"1129","56","6564","7424"
"1130","32","1274","267"
"1131","37","1348","548"
"1132","61","705","264"
"1133","09","1484","217"
"1134","71","1505","535"
"1135","45","724","118"
"1136","78","2128","1942"
"1137","88","858","130"
"1138","71","1087","422"
"1139","09","405","21"
"1140","69","1459","818"
"1141","69","2124","387"
"1142","79","1225","444"
"1143","76","2252","368"
"1144","54","772","109"
"1145","76","518","305"
"1146","56","2620","10728"
"1147","47","3544","2015"
"1148","25","412","89"
"1149","76","443","279"
"1150","91","2900","1165"
"1151","23","3274","327"
"1152","90","890","839"
"1153","67","744","1010"
"1154","59","1353","546"
"1155","51","922","612"
"1156","15","1268","225"
"1157","17","1575","659"
"1158","50","1141","663"
"1159","68","2493","642"
"1160","54","935","29836"
"1161","70","583","62"
"1162","34","2985","8244"
"1163","38","1187","1226"
"1164","21","211","249"
"1165","41","489","1500"
"1166","37","1468","143"
"1167","42","641","1224"
"1168","60","656","316"
"1169","38","2973","128"
"1170","40","3039","1093"
"1171","50","884","870"
"1172","76","287","271"
"1173","60","370","302"
"1174","10","764","335"
"1175","93","420","4713"
"1176","31","555","908"
"1177","41","2197","215"
"1178","24","3129","2639"
"1179","01","1680","975"
"1180","58","715","561"
"1181","56","604","909"
"1182","12","3281","375"
"1183","85","1376","3366"
"1184","2A","329","94"
"1185","25","693","449"
"1186","64","790","132"
"1187","78","928","26290"
"1188","36","4441","1545"
"1189","59","1015","2303"
"1190","70","1188","237"
"1191","81","382","69"
"1192","04","2559","186"
"1193","62","928","580"
"1194","01","1163","466"
"1195","30","2549","8573"
"1196","51","1170","399"
"1197","63","2401","528"
"1198","26","1333","92"
"1199","2B","6512","1099"
"1200","95","892","4078"
"1201","13","3676","34493"
"1202","95","560","9607"
"1203","62","584","1180"
"1204","72","648","348"
"1205","62","240","50"
"1206","63","688","1326"
"1207","33","923","506"
"1208","60","690","377"
"1209","65","1306","215"
"1210","71","1783","199"
"1211","74","690","483"
"1212","79","1760","428"
"1213","89","1534","754"
"1214","59","251","438"
"1215","14","987","3619"
"1216","27","397","2255"
"1217","68","1699","5446"
"1218","65","241","715"
"1219","25","724","1484"
"1220","71","1131","171"
"1221","80","269","75"
"1222","30","366","273"
"1223","10","3818","1052"
"1224","81","455","2162"
"1225","17","958","452"
"1226","25","702","117"
"1227","64","819","236"
"1228","17","1757","489"
"1229","85","1634","750"
"1230","28","2031","1536"
"1231","39","510","42"
"1232","50","594","489"
"1233","43","1281","63"
"1234","65","978","211"
"1235","13","2191","13963"
"1236","52","711","380"
"1237","28","1100","1365"
"1238","02","677","133"
"1239","59","3411","16653"
"1240","16","1510","745"
"1241","50","2100","2207"
"1242","59","578","973"
"1243","71","229","408"
"1244","06","17258","1291"
"1245","02","877","171"
"1246","10","4180","949"
"1247","29","8083","2147"
"1248","2A","2081","144"
"1249","39","148","39"
"1250","57","365","359"
"1251","80","1668","2165"
"1252","84","954","122"
"1253","2A","1353","34"
"1254","63","1809","4934"
"1255","32","1243","293"
"1256","13","5484","45303"
"1257","03","4582","3112"
"1258","44","2140","1608"
